year_month,total,male,female,minors,unacc_minors,decisions,granted,rejected,dublin,others,avg_time
2009-01,1932,1242,690,517,153,1559,300,797,224,238,223
2009-02,1669,1103,566,398,121,2394,561,1286,292,255,235
2009-03,1731,1141,590,455,146,2864,734,1544,288,298,226
2009-04,1564,1026,538,411,119,2091,521,1023,288,259,194
2009-05,1588,1063,525,389,126,1914,527,895,255,237,204
2009-06,1873,1226,647,487,159,2185,599,1104,250,232,212
2009-07,2052,1287,765,617,198,1952,557,922,224,249,193
2009-08,2389,1553,836,697,229,1591,396,641,304,250,175
2009-09,2204,1406,798,630,216,2511,702,1167,367,275,216
2009-10,2321,1495,826,676,256,2729,789,1242,425,273,202
2009-11,2402,1573,829,637,247,2754,908,1281,318,247,181
2009-12,2469,1605,864,663,280,NA,NA,NA,NA,NA,NA
2010-01,2226,1475,751,617,226,NA,NA,NA,NA,NA,NA
2010-02,2321,1486,835,638,150,NA,NA,NA,NA,NA,NA
2010-03,3570,2194,1376,1137,192,NA,NA,NA,NA,NA,NA
2010-04,2145,1361,784,605,129,NA,NA,NA,NA,NA,NA
2010-05,1874,1229,645,503,138,NA,NA,NA,NA,NA,NA
2010-06,1914,1217,697,548,158,NA,NA,NA,NA,NA,NA
2010-07,1900,1178,722,603,189,NA,NA,NA,NA,NA,NA
2010-08,2743,1661,1082,952,242,NA,NA,NA,NA,NA,NA
2010-09,3874,2251,1623,1550,265,NA,NA,NA,NA,NA,NA
2010-10,4196,2440,1756,1680,259,NA,NA,NA,NA,NA,NA
2010-11,2832,1807,1025,933,212,NA,NA,NA,NA,NA,NA
2010-12,2224,1507,717,727,233,NA,NA,NA,NA,NA,NA
2011-01,1963,1265,698,623,193,2084,471,1017,266,330,140.5249520153551
2011-02,1950,1294,656,605,162,2344,576,1221,291,256,148.6962457337884
2011-03,2302,1473,829,717,177,2917,787,1443,374,313,159.2701405553651
2011-04,2040,1274,766,636,110,2436,715,1204,285,232,151.14408866995075
2011-05,2377,1479,898,697,151,2541,759,1260,224,298,135.55332546241638
2011-06,1963,1334,629,592,173,2499,766,1263,183,287,153.75670268107243
2011-07,2063,1312,751,663,188,2103,616,944,289,254,127.97622444127437
2011-08,2567,1651,916,887,276,1919,600,909,155,255,138.91922876498177
2011-09,2795,1787,1008,940,309,2626,1021,1310,41,254,161.32216298552933
2011-10,3022,1910,1112,1031,335,2661,939,1402,112,208,157.29161969184517
2011-11,3112,1958,1154,1104,301,2914,887,1422,298,307,151.36547700754977
2011-12,3494,2203,1291,1204,282,3360,951,1708,334,367,147.25982142857143
2012-01,2717,1719,998,856,226,2433,537,1087,380,429,104.76407727085902
2012-02,2366,1509,857,725,194,2972,745,1398,412,417,106.72947510094212
2012-03,2470,1618,852,753,244,3097,899,1406,422,370,120.16887310300291
2012-04,2447,1617,830,752,219,2409,664,1048,397,300,122.48111249481113
2012-05,3242,2133,1109,903,260,2946,726,1107,717,396,120.60285132382892
2012-06,3096,1985,1111,972,244,3137,958,1327,512,340,149.87854638189353
2012-07,4108,2602,1506,1326,298,2741,737,987,566,451,81.08938343670194
